,LD1,LD2,LD3,fault
0,0.27427100827209805,-0.2240748005579619,0.29136450329307956,1
1,0.14246957090356532,-1.079820131903436,-0.31007071260944785,1
2,-0.02074394419081094,-2.1245260604270624,-0.842554681025784,1
3,-0.10261596965750835,-2.6148826659086617,-1.1293419110203133,1
4,-0.13281727031465884,-2.7567817982152127,-1.2828402924760238,1
5,-0.09264597641865814,-2.4207756946354366,-1.239697362445774,1
6,-0.014723402265024417,-1.8096695492213146,-0.9882974843033142,1
7,0.024071439774756224,-1.4283878587205396,-0.6548487711026878,1
8,0.02803572241009635,-1.2780804658390341,-0.40588628434828306,1
9,0.034174875236049285,-1.139120735221947,-0.3198674567395062,1
10,0.0426660080287685,-1.0057787965041332,-0.35751629203500657,1
11,0.03892880670772405,-0.9714454407944249,-0.5177146182848724,1
12,-0.00040155790647464104,-1.182366194607066,-0.7899086937044794,1
13,-0.08268582138589722,-1.6719088606978652,-1.098937754693761,1
14,-0.15740520699843372,-2.099705350217582,-1.322063665629567,1
15,-0.18127030412313505,-2.1825004314594816,-1.4044605983869396,1
16,-0.16565571989778005,-1.9974502283130737,-1.3795484038003203,1
17,-0.13424621149315316,-1.6977759745265326,-1.272180679651687,1
18,-0.10938704628031634,-1.4281628687737995,-1.1077020074750707,1
19,-0.10617113354854725,-1.2945248205822542,-0.9517505863169488,1
20,-0.11452602739939897,-1.2458307825276815,-0.8757779241274835,1
21,-0.12009124438795553,-1.195901623335846,-0.900621816520455,1
22,-0.12762661664763003,-1.1713546720166559,-0.9995590297620074,1
23,-0.15019242559673843,-1.250575385330232,-1.1457477337718265,1
24,-0.1924761695548695,-1.4586594035717129,-1.3131340467254955,1
25,-0.24184197037176228,-1.707979653581916,-1.4580082031616832,1
26,-0.2727904977538623,-1.8290704291744027,-1.5323646480818156,1
27,-0.27447474160171703,-1.751405024144905,-1.525936089330642,1
28,-0.2610651032283235,-1.5688730334958871,-1.4660634310529965,1
29,-0.25127522447636785,-1.4045226719375459,-1.3835670443166095,1
