,pc1,pc2,pc3,fault
0,121.60331684775697,-126.90322357363014,14.732024933961494,1
1,207.37912869581206,-220.22530250351952,179.37738805578303,1
2,265.0141917115921,-291.3938513373346,376.68624964868917,1
3,302.0781904581722,-333.56128815391037,471.1595361951958,1
4,331.1944565137698,-362.02858660718266,501.3325291869599,1
5,345.89509196081934,-368.51359550014064,443.0792667743352,1
6,329.57755558971917,-341.648067480803,332.385099402112,1
7,277.78673661225105,-286.710135004964,261.3477393332544,1
8,229.72933068375852,-239.42190901170162,232.84279412979612,1
9,218.75934787726223,-226.09466758535174,208.9461710527973,1
10,236.5319785320982,-239.0234911840053,188.03544024318302,1
11,276.9426782623258,-274.37590104510474,186.77993055110284,1
12,327.8663683351778,-323.8146671874663,231.11456306942716,1
13,369.2463194201689,-369.69376919999576,325.7820848070282,1
14,394.70444745379194,-399.9137810898857,408.06655159609375,1
15,410.0519573496765,-414.53035276799204,426.53185062359495,1
16,417.9265502518421,-417.37196226282407,395.4765765106711,1
17,413.81017402556654,-407.15743473694346,342.63235538778173,1
18,393.8289782375055,-383.03445873562134,294.21321493458044,1
19,366.2496196489934,-354.48877946940877,270.1632594051744,1
20,351.44521570935177,-339.1284163534427,262.52782211000704,1
21,360.3319269517322,-345.30019573561185,256.27588940192743,1
22,385.11376186211334,-366.39725716369884,255.74436871021476,1
23,414.3448861534674,-393.4464509631362,274.49672123251617,1
24,440.1776234619501,-419.76608668374735,316.5913983666371,1
25,458.0338043075262,-439.5678949136681,365.68307145431163,1
26,467.81697532566704,-449.6316542080997,390.75537963917867,1
27,471.73002209962755,-450.6598483920198,379.05283403379474,1
28,469.88904478327527,-444.494202665805,347.76430167459887,1
29,461.25149529094085,-432.4604599772616,319.33579500562644,1
30,447.90721320244006,-417.46717839602684,303.8602275910809,1
31,437.41308747023504,-406.2185690600167,300.0968904413796,1
32,438.1473362430951,-405.57262184470096,300.98001137841993,1
33,451.03210445819565,-416.08278918617845,303.73557008907216,1
34,468.90447732692377,-431.7825838300372,313.37568236953814,1
35,484.53961902758704,-446.56183692528,334.04410071746736,1
36,495.1835230241232,-457.3838759369049,360.31422885758394,1
37,501.15030335176516,-463.1820754388737,378.8144049574658,1
38,503.33560762810527,-463.6426336556235,378.42277720541364,1
39,502.1071151921319,-459.35120251270416,361.64385834593133,1
40,497.36679791372876,-451.58953294277865,342.0385981049815,1
41,490.09598938529643,-442.3486458412971,330.53332285721194,1
42,483.3751962618468,-434.49981716033176,327.98949231406556,1
43,481.3844943317985,-431.36014552463325,329.8453919679279,1
44,486.22056610534594,-434.5026265323067,332.9119676749069,1
45,495.726626246285,-442.0935774012894,338.3279728495902,1
46,505.20541469047384,-450.13450197693254,348.52917125643404,1
47,511.50038924085305,-455.6496244503458,362.2923850522818,1
48,514.3816291008399,-457.80818055081113,373.44706308221436,1
49,514.8671850725069,-456.8718773402617,375.4729281871607,1
50,513.4144112609791,-453.12810820619404,367.11966505564163,1
51,509.9825216050401,-447.11697678846826,354.09458039228895,1
52,504.9744263792001,-439.9755455287608,344.0449754700299,1
53,499.9338862059899,-433.43327954287685,340.2766532258337,1
54,497.0140009014818,-429.2271565660372,340.718897300592,1
55,497.6729140464255,-428.37227723877515,342.3720897528346,1
56,501.42699233594305,-430.37501919005473,344.6724108886196,1
57,506.04254925943997,-433.3498834560928,348.93341422540624,1
58,509.1335230607272,-435.1486738245268,355.2313498786199,1
59,509.81519216662053,-434.70537834138713,360.92440418512876,1
60,508.60580458572485,-432.1043999342766,362.2080591495293,1
61,506.2259876926645,-427.8327845527605,357.4530482352778,1
62,502.8498705279506,-422.2551828833286,348.70725444707335,1
63,498.5697751155062,-415.8856930582997,340.2297030582117,1
64,494.0147313419961,-409.6016779340312,335.07412315040347,1
65,490.35056545889586,-404.4597518271129,333.2666750612769,1
66,488.51033543389553,-401.1138034059013,332.9292845082528,1
67,488.5016089814842,-399.4524080468482,332.8872705714607,1
68,489.2912035830114,-398.57052206181845,333.4202075548981,1
69,489.5042929039922,-397.27191075912947,334.98144567665554,1
70,488.2850888029785,-394.6886126059501,336.63073909844655,1
71,485.6866857297215,-390.66541130903454,336.3526667499202,1
72,482.2062881619165,-385.50510858002184,332.6927913630612,1
